Date,Campaign ID,Keyword,Cost,CPC
2021-11-28,1646440683,TvCO internet,-222521,2012.03
2021-11-15,14832003666,numero TvCO,-1001131,2138.21
2021-12-06,1646440683,televisión TvCO hogar,-1001482,2088.1
2021-09-02,1646440648,planes TvCO hogar,-1003110,2031.21
2021-09-13,1646440683,TvCO internet hogar precios,-1003500,3130.83
2021-09-29,1646440648,planes TvCO hogar,-1004008,2331.33
2021-10-07,1646440683,TvCO tv,-1004131,1483.12
2021-12-07,1646440683,TvCO internet,-1005011,2109.04
2021-10-02,1646440648,planes TvCO hogar,-1005343,2223.92
2021-09-17,1646440683,TvCO internet,-1005311,2190.23
2021-12-11,14832003666,numero TvCO,-1001121,1481.23
2021-11-05,14832003666,numero TvCO,-1001253,1008.18
2021-09-02,1646440683,TvCO tv,-1003112,1930.21
2021-12-26,1646440683,televisión TvCO hogar,-1003128,1893.33
2021-10-02,1646440683,internet TvCO hogar,-1008011,3112.38
2021-09-03,1646440683,internet TvCO hogar,-1008323,4142.92
2021-09-07,1646440683,internet TvCO hogar,-1008213,1343.9
2021-10-28,1646440683,internet hogar TvCO,-1002421,4930.21
2021-10-13,1646440683,internet hogar TvCO,-1002811,1012.23
2021-11-04,1646440683,internet TvCO hogar,-1002212,4112.32
2021-10-11,1646440683,internet hogar TvCO,-1010281,4300.18
2021-10-27,1646440683,internet TvCO,-1010330,3239.11
2021-10-12,1646440683,internet TvCO hogar,-1010302,3213.23
2021-09-10,1646440683,internet hogar TvCO,-1011520,1139.22
2021-09-14,1646440683,internet hogar TvCO,-1012122,4113.3
2021-10-07,1646440683,internet TvCO,-1012210,2843.93
2021-11-04,14832003666,numero TvCO,-1013110,211.3
2021-10-04,1646440683,internet TvCO hogar,-1014801,2829.92
2021-09-08,1646440648,planes TvCO hogar,-1015028,2414.43
2021-10-09,1646440683,internet TvCO hogar,-1015321,3192.23
2021-09-08,1646440683,internet hogar TvCO,-1015335,3933.81
2021-12-30,1646440683,TvCO internet,-1011545,2022.31
2021-09-11,1646440648,planes TvCO hogar,-1020138,2122.01
2021-12-26,1646440683,TvCO internet,-1020214,1222.43
2021-12-18,1646440683,TvCO internet,-1021333,2029.88
